Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.000198916,0.000172175
20000.98,4.235874523,0.075197688
40000.96,7.541851775,0.111806427
100000.9,14.72509188,0.192459952
200000.8,23.73550437,0.231580179
300000.7,31.05934464,0.30977694
400000.6,37.88291219,0.43660464
500000.5,44.0581475,0.265613993
600000.4,50.6719917,0.731358382
700000.3,56.45290998,0.359749637
800000.2,62.20952741,0.220707284
900000.1,67.59460365,0.199026463
960000.04,70.19061798,0.340605913
980000.02,71.2932403,0.517063786
1000000,72.52300284,0.538943357
